1,Garcia,Manuel III,10/11/1983,966-860-270,44-4506057-3,8.20E+11,442-605-657-000,6.91E+11,"Valero Carpark Building Valero Street 1227, Makati City"
2,Lim,Antonio,6/19/1988,171-867-411,52-2061274-9,3.32E+11,683-102-776-000,6.64E+11,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite"
3,Aquino,Bianca Sofia,8/4/1989,966-889-370,30-8870406-2,1.77E+11,971-711-280-000,1.72E+11,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City"
4,Reyes,Isabella,6/16/1994,786-868-477,40-2511815-0,3.42E+11,876-809-437-000,4.17E+11,"460 Solanda Street Intramuros 1000, Manila"
5,Hernandez,Eduard,9/23/1989,088-861-012,50-5577638-1,9.57E+11,031-702-374-000,9.52E+11,"National Highway, Gingoog,  Misamis Occidental"
6,Villanueva,Andrea Mae,2/14/1988,918-621-603,49-1632020-8,3.82E+11,317-674-022-000,4.41E+11,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands "
7,San Jose,Brad ,3/15/1996,797-009-261,40-2400714-1,2.39E+11,672-474-690-000,2.11E+11,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi"
8,Romualdez,Alice,5/14/1992,983-606-799,55-4476527-2,5.46E+11,888-572-294-000,2.11E+11,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte "
9,Atienza,Rosie ,9/24/1948,266-036-427,41-0644692-3,7.09E+11,604-997-793-000,2.60E+11,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte"
10,Alvaro,Roderick,3/30/1988,053-381-386,64-7605054-4,5.78E+11,525-420-419-000,7.99E+11,"#284 T. Morato corner, Scout Rallos Street, Quezon City"
11,Salcedo,Anthony,9/14/1993,070-766-300,26-9647608-3,1.26E+11,210-805-911-000,2.18E+11,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate"
12,Lopez,Josie ,1/14/1987,478-355-427,44-8563448-3,4.32E+11,218-489-737-000,1.13E+11,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro"
13,Farala,Martha,1/11/1942,329-034-366,45-5656375-0,2.34E+11,210-835-851-000,6.31E+11,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte "
14,Martinez,Leila,7/11/1970,877-110-749,27-2090996-4,5.16E+11,275-792-513-000,1.01E+11,"37/46 Kulas Roads, Maragondon 0962 Quirino "
15,Romualdez,Fredrick ,3/10/1985,023-079-009,26-8768374-1,3.08E+11,598-065-761-000,2.23E+11,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales"
16,Mata,Christian,10/21/1987,783-776-744,49-2959312-6,8.24E+11,103-100-522-000,6.31E+11,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu "
17,De Leon,Selena ,2/20/1975,975-432-139,27-2090208-8,5.87E+11,482-259-498-000,7.19E+11,"89A Armstrong Trace, Compostela 7874 Maguindanao"
